Area,Theme,Question,Yes/No
General PKI,Revocation readiness,Does the CA Owner have processes to identify and revoke all misissued certificates and commit to revoke within the timelines required by applicable industry standards?,
General PKI,Revocation readiness,"In the last 2 years, did the CA Owner meet every required revocation timeline (no misses)?",
General PKI,Revocation readiness,Does the CA Owner maintain documented incident-response procedures for mass-revocation events?,
General PKI,Operational agility,Can the CA Owner complete implementation of an emergency security change in production within 72 hours?,
General PKI,Operational agility,Does the CA Owner test all configuration changes in a staging environment before deploying to production?,
General PKI,Operational agility,Does the CA Owner have a standing body that authorizes its response to industry and standards changes and records those decisions in retrievable minutes?,
General PKI,Operational agility,Does the CA Owner maintain a documented change-management process with documented rollback procedures for failed changes?,
General PKI,Operational agility,Does the CA Owner operate a staging or test infrastructure that closely mirrors production and is available to all Subscribers?,
General PKI,Subscriber communication,Does the CA Owner publish a public-facing changelog or release notes for policy and technical changes affecting Subscribers?,
General PKI,Subscriber communication,"Does the CA Owner notify all Subscribers of upcoming changes at least 90 days in advance through a documented mechanism (such as a mailing list, notification service, or in-product alerting)?",
General PKI,Subscriber communication,Do Subscriber Agreements require Subscribers to protect private keys and to request revocation if key compromise is suspected?,
General PKI,Subscriber communication,Does the CA Owner verify that Subscriber contact information remains current at least annually?,
General PKI,Subscriber communication,Does the CA Owner maintain at least two distinct contact methods per Subscriber?,
General PKI,Subscriber communication,Does the CA Owner maintain a documented process for handling bounced communications to Subscribers?,
General PKI,Community & participation,Has the CA Owner operated a Certificate Transparency log qualified in Apple at any point in the past 2 years?,
General PKI,Community & participation,Is the CA Owner a member of the CA/Browser Forum?,
General PKI,Community & participation,Has the CA Owner authored or co-authored at least one CA/B Forum ballot in the past 2 years?,
General PKI,Community & participation,"Has the CA Owner identified named personnel responsible for tracking CA/B Forum, CCADB, Root Program, IETF, (CT Program when applicable), and audit-standard updates?",
General PKI,Community & participation,"Does the CA Owner operate a documented Subscriber-feedback process for proposed industry changes (including survey and intake), and share Subscriber feedback with relevant standards bodies (such as CA/B Forum or IETF) when participating in standards development?",
General PKI,Community & participation,Has the CA Owner read at least 50% of public incident reports owned by other CA Owners in the past 2 years?,
General PKI,Community & participation,Has the CA Owner read all public incident reports owned by other CA Owners in the past 2 years?,
General PKI,Community & participation,"Has the CA Owner made at least one substantive, attributable contribution in the past 2 years to PKI-ecosystem tooling that benefits the community (for example a certificate linter, an ACME client, a certificate-monitoring service, or weak-key detection), with verifiable evidence?",
General PKI,Community & participation,Has the CA Owner attended (in-person or virtual) at least 50% of CA/B Forum Face-to-Face meetings in the past 2 years?,
General PKI,Organization integrity,"Is the CA Owner free of any removal, blocklisting, or constraint imposed by Apple or another CCADB Steering Committee member? (Not counting constraints it requested itself.)",
General PKI,Organization integrity,"Is the CA Owner free of any affiliation (organizational, financial, or operational) with a CA Owner that Apple or another CCADB Steering Committee member has removed, blocklisted, or constrained? (Constraints the CA Owner requested itself do not count.)",
General PKI,Organization integrity,"Is the CA Owner free of any affiliation (organizational, financial, or operational) with a government or vendor that has used CA certificates to intercept network traffic, surveil end users, or force Root CA certificate installation?",
General PKI,Organization integrity,"Does the CA Owner avoid using shell companies, holding companies, or other corporate-structure obfuscation to mask relationships with other organizations or governments?",
General PKI,Organization integrity,Are at least 75% of personnel operating the CA full-time employees of the CA Owner?,
General PKI,Privacy,"In the past 5 years, has the CA Owner had no personal-data breaches?",
TLS,Certificate Transparency,Does the CA Owner log all TLS certificates (as precertificates) to at least one Apple-qualified CT log and embed at least the Apple-minimum number of SCTs in the final certificate (or N/A if the CA Owner does not issue TLS)?,
TLS,Certificate profile & issuance,Do all TLS subscriber certificates have a maximum domain-validation reuse period of 30 days or less (or N/A if not issuing TLS)?,
TLS,Certificate profile & issuance,Do all TLS subscriber certificates have a maximum domain-validation reuse period of 90 days or less (or N/A if not issuing TLS)?,
TLS,Certificate profile & issuance,Do all TLS subscriber certificates have a maximum validity of 90 days or less (or N/A if not issuing TLS)?,
TLS,Certificate profile & issuance,Do all TLS subscriber certificates have a maximum validity of 45 days or less (or N/A if not issuing TLS)?,
TLS,Certificate profile & issuance,Does the CA Owner issue Short-Lived TLS certificates with maximum validity of 10 days or less (or N/A if not issuing TLS)?,
TLS,Operational agility,Is the CA Owner's ACME issuance available to public Subscribers without requiring a paid contract or out-of-band credential provisioning (functional External Account Binding) (or N/A if the CA Owner does not issue TLS)?,
TLS,Operational agility,Do at least 75% of all TLS Subscriber certificates issued by the CA Owner use automated issuance and renewal (or N/A if not issuing TLS)?,
TLS,Operational agility,Do at least 50% of all TLS Subscriber certificates issued by the CA Owner use automated issuance and renewal (or N/A if not issuing TLS)?,
TLS,Operational agility,Does the CA Owner support the ACME protocol for TLS Subscriber certificate issuance and renewal (or N/A if not issuing TLS)?,
TLS,Operational agility,Does the CA Owner support ACME Renewal Information (ARI) for its TLS issuance (or N/A if not issuing TLS)?,
TLS,Operational agility,Does the CA Owner support ACME for Subdomains (RFC 9444) for its TLS issuance (or N/A if not issuing TLS)?,
TLS,Community & participation,Has the CA Owner voted in at least 75% of SCWG ballots in the past 2 years (or N/A if not issuing TLS)?,
TLS,Community & participation,Has the CA Owner attended at least 50% of SCWG meetings in the past 2 years (or N/A if not issuing TLS)?,
S/MIME,Key management,"If S/MIME key escrow is supported, does the CA Owner document security controls for escrowed keys and ensure S/MIME signing keys are never escrowed (or N/A if not supporting S/MIME)?",
S/MIME,Root lifecycle & agility,Does the certificate path from an S/MIME subscriber certificate to the Root CA Certificate contain 3 or fewer certificates (or N/A if not issuing S/MIME)?,
S/MIME,Certificate profile & issuance,Do all S/MIME subscriber certificates have a maximum validity of 397 days or less (or N/A if not issuing S/MIME)?,
S/MIME,Subscriber communication,Does the CA Owner support automated S/MIME Subscriber certificate issuance and renewal via API for all enterprise deployments (or N/A if not issuing S/MIME)?,
S/MIME,Community & participation,Has the CA Owner voted in at least 75% of SMCWG ballots in the past 2 years (or N/A if not issuing S/MIME)?,
S/MIME,Community & participation,Has the CA Owner attended at least 50% of SMCWG meetings in the past 2 years (or N/A if not issuing S/MIME)?,
